,Time,Age,Gender,City,Seniority level,Position,Experience,Language,Brutto,Bonus,Vacation,WFH,Language@Work,Company name,Company size,Company type,Сontract duration,Company business sector,Employment status
16,02.12.2019 11:24:53,31.0,Male,Berlin,Middle,Mobile Developer,6,Swift,72000.0,,27.0,0.0,English,Omio,100-1000,Product,unlimited,Сommerce,
17,02.12.2019 11:24:54,34.0,Male,Berlin,Senior,Backend Developer,10,Java,87000.0,,28.0,,English,,50-100,Product,unlimited,Advertising,
18,02.12.2019 11:25:24,33.0,Male,Berlin,Senior,DevOps,12,Kubernetes,90000.0,,30.0,,English,,1000+,Product,unlimited,Сommerce,
19,02.12.2019 11:25:36,31.0,Male,Berlin,Senior,Data Scientist,6,Python,78000.0,,,,English,,1000+,Product,unlimited,Сommerce,
20,02.12.2019 11:25:49,24.0,Male,Berlin,Middle,Machine Learning Engineer,2,C/C++,70000.0,,30.0,,English,,10-50,Startup,unlimited,Health,
21,02.12.2019 11:26:09,28.0,Male,Hamburg,Senior,Backend Developer,7,PHP,55000.0,,25.0,0.0,English,,100-1000,Product,unlimited,Сommerce,
22,02.12.2019 11:27:04,32.0,Male,Frankfurt,Senior,DevOps,12,Not Relevant,160000.0,,,,Deutsch,,1000+,,,,
23,02.12.2019 11:27:41,27.0,Male,Berlin,Senior,Data Engineer,5,Python,75000.0,,30.0,0.0,English,New Yorker,1000+,Product,unlimited,Fashion,
24,02.12.2019 11:30:24,32.0,Male,Berlin,Senior,DevOps,13,Not Relevant,60000.0,6000.0,24.0,,English,,50-100,Product,unlimited,IoT,
25,02.12.2019 11:30:34,32.0,Male,Berlin,Senior,DevOps,7,AWS,72000.0,,24.0,3.0,English,Lieferando,1000+,Product,unlimited,Catering,
26,02.12.2019 11:31:32,38.0,Male,Berlin,Senior,Backend Developer,16,Ruby,80000.0,,24.0,20.0,English,Germany,up to 10,Product,unlimited,Finance / Insurance,
27,02.12.2019 11:31:55,,Male,Munich,,Data Scientist,7,Python,85000.0,7000.0,30.0,,English,,10-50,Consulting / Agency,unlimited,Сommerce,
28,02.12.2019 11:32:46,31.0,Male,Berlin,Senior,QA,9,Java,67000.0,4000.0,20.0,4.0,English,,100-1000,Product,unlimited,Automotive,
29,02.12.2019 11:32:52,31.0,Male,Berlin,Senior,Backend Developer,8,PHP,60000.0,,24.0,0.0,English,Auto1,100-1000,Product,unlimited,Сommerce,
30,02.12.2019 11:32:59,32.0,Male,Berlin,Senior,Software Architect,13,Java,78600.0,,30.0,,English,,100-1000,Product,unlimited,Marketing,
31,02.12.2019 11:36:20,44.0,Male,Berlin,Senior,Backend Developer,20,.NET,60000.0,5000.0,30.0,5.0,Deutsch,,50-100,Consulting / Agency,unlimited,,
32,02.12.2019 11:37:44,26.0,Male,Berlin,,Backend Developer,6,PHP,65000.0,,,,English,,,Startup,,Finance / Insurance,
33,02.12.2019 11:37:53,31.0,Male,Berlin,Senior,Backend Developer,7,PHP,60000.0,,26.0,20.0,English,,10-50,Product,unlimited,Сommerce,
34,02.12.2019 11:39:53,36.0,Male,Berlin,Senior,Backend Developer,11,PHP,65000.0,6500.0,28.0,,English,,1000+,Product,unlimited,Сommerce,
35,02.12.2019 11:41:59,33.0,Male,Berlin,Middle,Backend Developer,4,Java,58000.0,,29.0,4.0,Deutsch,,1000+,Product,unlimited,,
36,02.12.2019 11:44:10,37.0,Male,Berlin,Senior,Data Engineer,16,Scala,65000.0,,28.0,4.0,English,,1000+,Product,unlimited,Transport,
37,02.12.2019 11:45:24,29.0,Male,Berlin,Senior,Backend Developer,11,Javascript / Typescript,190000.0,,9.0,20.0,English,,up to 10,Startup,unlimited,,
38,02.12.2019 11:45:54,33.0,Male,Berlin,Senior,Backend Developer,9,Java,69000.0,,30.0,2.0,English,Signavio,100-1000,Product,unlimited,,
39,02.12.2019 11:46:17,35.0,Male,Frankfurt,Middle,Business Analyst,15,Not Relevant,72000.0,16000.0,28.0,4.0,English,,1000+,Product,unlimited,Finance / Insurance,
40,02.12.2019 11:46:58,35.0,Male,Cologne,Senior,Backend Developer,4,Java,67000.0,,30.0,4.0,English,,50-100,Startup,unlimited,,
41,02.12.2019 11:48:35,31.0,Male,Berlin,Senior,Backend Developer,10,Clojure,75000.0,,25.0,,English,,10-50,Product,unlimited,,
42,02.12.2019 11:49:02,35.0,Male,Berlin,Middle,Data Engineer,10,Java,70000.0,,30.0,20.0,English,,100-1000,Product,unlimited,Finance / Insurance,
43,02.12.2019 11:49:03,27.0,Male,Berlin,Senior,Backend Developer,10,PHP,60000.0,2000.0,25.0,5.0,English,,50-100,Startup,unlimited,Сommerce,
44,02.12.2019 11:50:47,38.0,Female,Berlin,Senior,Manager,10,Javascript / Typescript,85000.0,,26.0,10.0,English,OptioPay,10-50,Startup,unlimited,Finance / Insurance,
45,02.12.2019 11:51:31,31.0,Male,Berlin,Middle,Backend Developer,2,Java,62000.0,,30.0,0.0,English,Яфдфтвщ,1000+,Product,unlimited,Сommerce,
46,02.12.2019 11:51:56,29.0,Male,Düsseldorf,Senior,Backend Developer,9,Java,75000.0,,25.0,4.0,English,trivago,1000+,Product,unlimited,Tourism,
47,02.12.2019 11:52:36,30.0,Male,Wolfsburg,Senior,Backend Developer,4,Java,75000.0,,26.0,0.0,English,,50-100,Consulting / Agency,unlimited,Automotive,
48,02.12.2019 11:53:51,30.0,Male,Berlin,Middle,Backend Developer,3,Ruby,61000.0,,26.0,4.0,English,,100-1000,Startup,unlimited,Tourism,
49,02.12.2019 11:54:30,31.0,Male,Berlin,Senior,Fullstack Developer,12,Javascript / Typescript,80000.0,,30.0,4.0,English,,1000+,Product,unlimited,Finance / Insurance,
50,02.12.2019 11:57:08,33.0,Male,Cologne,Senior,Backend Developer,10,.NET,60000.0,2000.0,30.0,5.0,Deutsch,,10-50,Startup,unlimited,,
51,02.12.2019 12:01:48,31.0,Male,Munich,Senior,Frontend Developer,7,Javascript / Typescript,56600.0,4650.0,30.0,4.0,Deutsch,,1000+,Consulting / Agency,unlimited,Finance / Insurance,
52,02.12.2019 12:02:15,30.0,Male,Munich,Lead,Data Scientist,8,Python,81000.0,9000.0,25.0,,English,,10-50,Startup,unlimited,Сommerce,
53,02.12.2019 12:02:42,28.0,Male,Berlin,Senior,Data Scientist,4,Python,75000.0,,28.0,1.0,English,Contorion,100-1000,Startup,unlimited,Сommerce,
54,02.12.2019 12:03:44,,Male,Berlin,Senior,Data Scientist,6,Python,80000.0,8000.0,24.0,,English,,1000+,Product,more than 1 year,Сommerce,
55,02.12.2019 12:05:28,27.0,Male,Munich,Senior,Mobile Developer,5,Kotlin,72000.0,,30.0,,English,Luxoft,100-1000,Consulting / Agency,unlimited,Transport,
56,02.12.2019 12:07:58,31.0,Female,MA,Senior,"Designer (UI, UX)",10,,61000.0,,30.0,6.0,Deutsch,,10-50,Product,unlimited,Health,
57,02.12.2019 12:08:04,28.0,Male,Berlin,Middle,Machine Learning Engineer,6,Python,61000.0,,28.0,,English,,100-1000,Startup,unlimited,Manufacture,
58,02.12.2019 12:08:31,36.0,Female,Munich,Senior,Backend Developer,13,Python,76000.0,8000.0,30.0,,English,,50-100,Startup,unlimited,,
59,02.12.2019 12:11:31,28.0,Male,Munich,Senior,Mobile Developer,8,Swift,75000.0,,30.0,0.0,English,,10-50,Startup,unlimited,Сommerce,
60,02.12.2019 12:11:37,37.0,Male,Berlin,Senior,Localization,15,Not Relevant,60000.0,,25.0,,English,,1000+,Product,unlimited,Gaming,
61,02.12.2019 12:13:02,40.0,Male,Berlin,Senior,Manager,15,Not Relevant,70000.0,,30.0,,English,,100-1000,Product,unlimited,Finance / Insurance,
62,02.12.2019 12:14:19,34.0,Male,Berlin,Senior,Support,9,PHP,60000.0,,28.0,,English,,100-1000,Product,unlimited,Сommerce,
63,02.12.2019 12:16:09,,Male,Berlin,Senior,Backend Developer,12,Java,150000.0,16000.0,30.0,,English,,1000+,Product,unlimited,,
64,02.12.2019 12:18:34,27.0,Female,Berlin,Middle,Data Scientist,3,Python,66000.0,,27.0,2.0,English,,100-1000,Startup,unlimited,Gaming,
65,02.12.2019 12:23:45,30.0,Male,Munich,Senior,Mobile Developer,8,Swift,60000.0,1500.0,27.0,0.0,English,,1000+,Product,unlimited,Сommerce,
66,02.12.2019 12:24:08,32.0,Male,Berlin,Senior,Backend Developer,11,PHP,65000.0,,26.0,2.0,English,,50-100,Product,unlimited,Сommerce,
67,02.12.2019 12:24:55,23.0,Male,Berlin,Middle,Data Scientist,3,Python,50000.0,,28.0,,English,,50-100,Startup,unlimited,Finance / Insurance,
68,02.12.2019 12:27:11,35.0,Male,Munich,Senior,Embedded Developer,12,C/C++,78000.0,13000.0,30.0,1.0,English,,100-1000,Consulting / Agency,unlimited,Transport,
69,02.12.2019 12:28:29,30.0,Male,Munich,Middle,DevOps,10,AWS,80000.0,200.0,27.0,1.0,English,,50-100,Product,unlimited,IT,
70,02.12.2019 12:28:59,40.0,Male,Munich,Senior,Mobile Developer,12,Swift,113000.0,4700.0,30.0,0.0,English,Consumer Electronics,10-50,Product,unlimited,Manufacture,
71,02.12.2019 12:31:11,27.0,Male,Munich,Senior,Backend Developer,5,Java,70000.0,2000.0,30.0,,English,,100-1000,Consulting / Agency,more than 1 year,Сommerce,
72,02.12.2019 12:39:00,36.0,Male,Berlin,Senior,Backend Developer,14,Java,73000.0,,30.0,8.0,English,,100-1000,Product,unlimited,Advertising,
73,02.12.2019 12:39:31,36.0,Male,Berlin,Lead,Manager,15,PHP,80000.0,8000.0,30.0,5.0,English,,1000+,Product,unlimited,Сommerce,
74,02.12.2019 12:40:08,31.0,Male,Berlin,Senior,Fullstack Developer,9,Python,64000.0,,30.0,,English,,10-50,Startup,unlimited,Сommerce,
75,02.12.2019 12:42:34,26.0,Male,Munich,Middle,QA,3,Ruby,58000.0,,30.0,0.0,English,Payworks GmbH,50-100,Product,unlimited,Finance / Insurance,
76,02.12.2019 12:43:59,26.0,Male,Munich,Junior,Fullstack Developer,2,Java,60000.0,,28.0,,English,,100-1000,Product,unlimited,Scientific Activities,
77,02.12.2019 12:45:44,32.0,Female,Berlin,Senior,Backend Developer,12,.NET,96000.0,,30.0,,English,,1000+,Product,1 year,Finance / Insurance,
78,02.12.2019 12:53:59,38.0,Male,Berlin,Senior,Backend Developer,18,Not Relevant,75000.0,,30.0,,English,,100-1000,Product,unlimited,,
79,02.12.2019 12:54:44,29.0,Male,Munich,Senior,Backend Developer,10,Ruby,55000.0,,26.0,,English,Riskmethods ,100-1000,Product,unlimited,,
80,02.12.2019 12:56:07,30.0,Male,Berlin,Lead,Data Scientist,6,Python,115000.0,23.0,28.0,5.0,English,,1000+,Startup,unlimited,,
81,02.12.2019 12:59:36,26.0,Male,Munich,Middle,QA,6,Python,65000.0,6000.0,30.0,,English,,1000+,Product,unlimited,IT,
82,02.12.2019 13:02:11,30.0,Male,Munich,Middle,DevOps,10,AWS,80000.0,,30.0,,English,,1000+,Product,unlimited,Transport,
83,02.12.2019 13:03:05,32.0,Male,Berlin,Middle,Mobile Developer,7,Swift,66000.0,,25.0,,English,,1000+,,unlimited,,
84,02.12.2019 13:03:53,35.0,Male,Munich,Senior,DevOps,16,Yaml,72000.0,10000.0,31.0,0.0,Deutsch,,1000+,Consulting / Agency,unlimited,Сommerce,
85,02.12.2019 13:05:07,35.0,Male,Berlin,Senior,Frontend Developer,11,Javascript / Typescript,72000.0,,26.0,,English,WeQ,50-100,Product,unlimited,Сommerce,
86,02.12.2019 13:12:06,38.0,Male,Berlin,Middle,DevOps,7,AWS,67000.0,,28.0,3.0,English,AUTO1 Group GmbH,1000+,Startup,unlimited,Automotive,
87,02.12.2019 13:13:53,36.0,Male,Munich,Senior,Backend Developer,14,PHP,70000.0,,30.0,,Deutsch,FondsFinanz Gmbh,100-1000,Product,unlimited,Finance / Insurance,
88,02.12.2019 13:14:01,,Female,Munich,Middle,QA,5,Java,62000.0,,26.0,3.0,English,,1000+,Product,unlimited,Finance / Insurance,
89,02.12.2019 13:16:12,30.0,Male,Berlin,Senior,QA,9,Java,67500.0,,30.0,2.0,English,Fastlane,100-1000,Product,unlimited,Marketing,
90,02.12.2019 13:21:36,33.0,Male,Berlin,Senior,QA,8,Java,75000.0,,28.0,4.0,English,,100-1000,Startup,unlimited,Finance / Insurance,
91,02.12.2019 13:23:36,31.0,Male,Frankfurt,Middle,System Administrator,10,"Linux-Stack, Networking",56300.0,10500.0,30.0,10.0,English+Deutsch,Government agency,10-50,Consulting / Agency,unlimited,Finance / Insurance,
92,02.12.2019 13:27:02,37.0,Male,Berlin,Lead,Backend Developer,12,Java,89570.0,,30.0,4.0,English,Zalando,1000+,Product,unlimited,Fashion,
93,02.12.2019 13:30:29,,Female,Berlin,Middle,Product Manager,3,,60000.0,,26.0,,English,,50-100,Startup,,,
94,02.12.2019 13:33:23,27.0,Male,Berlin,Middle,Manager,2,,52000.0,,27.0,2.0,English,,100-1000,Product,unlimited,Education,
95,02.12.2019 13:33:33,36.0,Male,Berlin,Middle,Support,19,Azure,36000.0,,24.0,0.0,English,,100-1000,Startup,1 year,SEO,
96,02.12.2019 13:34:49,39.0,Female,Hamburg,Middle,Backend Developer,2,Ruby,55000.0,,28.0,,Deutsch,Sum.cumo,100-1000,Product,unlimited,Finance / Insurance,
97,02.12.2019 13:37:05,36.0,Male,Berlin,Senior,Manager,14,Python,95000.0,,30.0,20.0,English,,10-50,,unlimited,Сommerce,
98,02.12.2019 13:37:07,33.0,Male,Berlin,Senior,Backend Developer,10,.NET,60000.0,,25.0,7.0,English,,10-50,Product,unlimited,Сommerce,
99,02.12.2019 13:41:41,30.0,Male,Berlin,Middle,Frontend Developer,7,Javascript / Typescript,56500.0,,28.0,,English,,100-1000,Product,unlimited,,
100,02.12.2019 13:46:31,32.0,Male,Berlin,Senior,Backend Developer,12,PHP,68000.0,,28.0,20.0,English,,50-100,Product,unlimited,Сommerce,
101,02.12.2019 13:50:08,,Male,Berlin,Middle,Backend Developer,3,Elixir,74000.0,,30.0,4.0,English,,10-50,Consulting / Agency,unlimited,Сonstruction,
102,02.12.2019 13:50:39,43.0,Male,Berlin,Senior,QA,8,Not Relevant,80000.0,,,,English,,10-50,Startup,unlimited,Education,
103,02.12.2019 13:51:12,29.0,Male,Berlin,Senior,Backend Developer,7,PHP,69000.0,,30.0,,English,Auto1,1000+,Product,unlimited,Transport,
104,02.12.2019 13:51:36,,Male,Hamburg,Senior,SAP Consultant,20,Not Relevant,80000.0,,30.0,8.0,Deutsch,,1000+,Consulting / Agency,more than 1 year,,
105,02.12.2019 13:52:27,29.0,Male,Berlin,,QA,9,Python,66000.0,,24.0,4.0,English,,50-100,Startup,unlimited,,
106,02.12.2019 13:53:04,,Male,Munich,Middle,Backend Developer,6,Java,61000.0,,26.0,3.0,English,Check24,100-1000,Product,unlimited,Finance / Insurance,
107,02.12.2019 13:56:29,40.0,Male,Berlin,Senior,SRE,20,Multiple,70000.0,,20.0,4.0,English,LiveIntent,100-1000,Product,unlimited,Advertising,
108,02.12.2019 13:59:02,33.0,Male,Leipzig,Senior,Mobile Developer,13,Kotlin,56000.0,2000.0,23.0,,English,,100-1000,Consulting / Agency,unlimited,IT,
109,02.12.2019 14:04:57,,Male,Berlin,Senior,Mobile Developer,7,Kotlin,68000.0,,30.0,2.0,English,,1000+,Product,unlimited,Сommerce,
110,02.12.2019 14:11:51,37.0,Male,Berlin,Senior,Manager,14,Objective-C,80000.0,3800.0,28.0,20.0,Russian,,100-1000,Product,unlimited,Сommerce,
111,02.12.2019 14:16:47,36.0,Male,Berlin,Senior,Software Engineer,11,Python,67000.0,,28.0,10.0,Deutsch,,100-1000,Consulting / Agency,unlimited,IT,
112,02.12.2019 14:21:39,39.0,Male,Berlin,Senior,Backend Developer,16,Java,82000.0,,26.0,4.0,English,,100-1000,Startup,unlimited,Transport,
113,02.12.2019 14:23:35,27.0,Female,Berlin,Middle,Data Scientist,2,Python,58500.0,3000.0,24.0,0.0,English,,50-100,Startup,unlimited,Сommerce,
114,02.12.2019 14:25:37,46.0,Male,Berlin,Middle,System Administrator,7,"Microsoft, Vmware",45000.0,,25.0,0.0,Deutsch,Architektur Buro,50-100,Consulting / Agency,unlimited,Design,
115,02.12.2019 14:27:33,46.0,Male,Berlin,Junior,DevOps,0,Kubernetes,55000.0,,25.0,,Deutsch,,50-100,Product,unlimited,Finance / Insurance,
116,02.12.2019 14:29:11,31.0,Male,Berlin,Head,"CTO (CEO, CFO)",12,Java,210000.0,,32.0,5.0,English,,1000+,Product,unlimited,Сommerce,
117,02.12.2019 14:34:27,47.0,Male,Berlin,Senior,Embedded Developer,20,C/C++,65000.0,,30.0,4.0,English,,1000+,Bodyshop / Outsource,unlimited,Manufacture,
118,02.12.2019 14:35:46,40.0,Male,Berlin,Senior,Software Architect,18,Not Relevant,94000.0,,30.0,,English,,1000+,Product,unlimited,Сommerce,
119,02.12.2019 14:35:55,37.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,66000.0,2500.0,29.0,2.0,English,,100-1000,Product,unlimited,Сommerce,
120,02.12.2019 14:40:45,36.0,Male,Berlin,Middle,DevOps,10,AWS,65000.0,,28.0,5.0,English,,50-100,Product,unlimited,Сommerce,
121,02.12.2019 14:41:29,44.0,Male,Berlin,Senior,Data Engineer,25,Python,70000.0,12000.0,30.0,6.0,English,,100-1000,Product,unlimited,Transport,
122,02.12.2019 14:41:59,37.0,Female,Berlin,Middle,Backend Developer,10,C/C++,57000.0,,26.0,0.0,English,,100-1000,Product,unlimited,Сommerce,
123,02.12.2019 14:43:33,30.0,Female,Berlin,Middle,Backend Developer,4,Python,54000.0,,30.0,4.0,English,,50-100,Product,unlimited,,
124,02.12.2019 14:44:36,33.0,Male,Berlin,Senior,QA,8,Javascript / Typescript,63000.0,,30.0,5.0,English,,1000+,Product,unlimited,Manufacture,
125,02.12.2019 14:46:50,35.0,Male,Munich,Principal,Software Architect,15,Google Cloud,120000.0,80000.0,30.0,7.0,Deutsch,,100-1000,Consulting / Agency,unlimited,Finance / Insurance,
126,02.12.2019 14:47:18,25.0,Male,Berlin,Middle,Business Analyst,4,Python,60000.0,,25.0,4.0,English,Test,100-1000,Product,unlimited,Finance / Insurance,
127,02.12.2019 14:55:58,25.0,Male,Munich,Senior,Frontend Developer,4,Javascript / Typescript,74000.0,11000.0,30.0,10.0,English,,1000+,Product,more than 1 year,,
128,02.12.2019 15:08:55,32.0,Male,Berlin,Senior,Backend Developer,11,Python,70000.0,,27.0,,English,,1000+,Product,unlimited,,
129,02.12.2019 15:10:43,32.0,Male,Munich,Senior,DevOps,14,Google Cloud,92000.0,10000.0,30.0,20.0,English,,1000+,Product,unlimited,Finance / Insurance,
130,02.12.2019 15:11:20,42.0,Male,Munich,Senior,Software Architect,20,Not Relevant,106000.0,9000.0,30.0,4.0,Deutsch,,100-1000,Product,unlimited,Transport,
131,02.12.2019 15:12:44,42.0,Female,Munich,Senior,Business Analyst,15,Not Relevant,71000.0,5000.0,31.0,20.0,Deutsch,,1000+,Bodyshop / Outsource,unlimited,Software Development,
132,02.12.2019 15:12:51,34.0,Female,Berlin,Senior,"Designer (UI, UX)",8,Not Relevant,52000.0,5200.0,25.0,,English,,,Startup,unlimited,Сommerce,
133,02.12.2019 15:14:20,30.0,Male,Berlin,Middle,Backend Developer,10,Kotlin,70000.0,3000.0,28.0,8.0,English,,100-1000,Product,unlimited,Сommerce,
134,02.12.2019 15:15:03,45.0,Female,Munich,Junior,Frontend Developer,2,Java,36000.0,0.0,27.0,0.0,Deutsch,,10-50,Consulting / Agency,unlimited,Justice,
135,02.12.2019 15:17:44,35.0,Male,Frankfurt,Middle,QA,9,Not Relevant,60500.0,,30.0,,English,Da Vinchi Engineering,100-1000,Bodyshop / Outsource,unlimited,Manufacture,
136,02.12.2019 15:18:34,42.0,Male,Munich,Middle,Fullstack Developer,16,Java,64000.0,,31.0,4.0,Deutsch,,50-100,Consulting / Agency,unlimited,Logistics,
137,02.12.2019 15:18:41,40.0,Male,Berlin,Senior,Backend Developer,18,Python,88000.0,8000.0,28.0,,English,,1000+,Product,unlimited,Сommerce,
138,02.12.2019 15:19:47,34.0,Male,Munich,Senior,QA,12,,64000.0,5000.0,30.0,4.0,Deutsch,,1000+,Product,unlimited,Entertainment,
139,02.12.2019 15:20:58,30.0,Female,Munich,Senior,QA,6,Java,56000.0,,28.0,5.0,Deutsch,,50-100,Consulting / Agency,unlimited,Automotive,
140,02.12.2019 15:22:56,,Male,Berlin,Middle,Backend Developer,13,Javascript / Typescript,73500.0,,30.0,4.0,English,Technology/Infrastructure,1000+,Product,unlimited,IT,
141,02.12.2019 15:24:45,32.0,Female,Berlin,Middle,Frontend Developer,12,Javascript / Typescript,59500.0,4000.0,30.0,10.0,English,,1000+,Product,unlimited,Software Development,
142,02.12.2019 15:24:46,31.0,Male,Berlin,Senior,Fullstack Developer,10,Java,65000.0,,24.0,4.0,English,,up to 10,Startup,unlimited,,
143,02.12.2019 15:25:09,30.0,Male,Berlin,Senior,Data Engineer,8,Python,81000.0,,25.0,4.0,English,,100-1000,Product,unlimited,Logistics,
144,02.12.2019 15:26:28,45.0,Male,Munich,Senior,QA,12,Java,70000.0,9000.0,30.0,7.0,Deutsch,,100-1000,Product,unlimited,Сommerce,
145,02.12.2019 15:28:04,33.0,Male,Munich,Senior,Backend Developer,7,PHP,65000.0,,28.0,,English,,50-100,Product,unlimited,Finance / Insurance,
146,02.12.2019 15:29:03,38.0,Male,Berlin,Senior,Backend Developer,6,Java,66000.0,,25.0,1.0,English,Takeaway.com,1000+,Product,more than 1 year,Сommerce,
147,02.12.2019 15:33:10,29.0,Male,Munich,Senior,QA,6,Javascript / Typescript,60000.0,0.0,28.0,,English,,100-1000,Product,unlimited,Сommerce,
148,02.12.2019 15:33:43,33.0,Male,Berlin,Senior,Embedded Developer,9,C/C++,74000.0,11000.0,30.0,5.0,English,,100-1000,Product,unlimited,Automotive,
149,02.12.2019 15:34:33,34.0,Male,Munich,Senior,Backend Developer,10,PHP,120000.0,0.0,20.0,20.0,English,,up to 10,Consulting / Agency,1 year,,
150,02.12.2019 15:40:21,33.0,Male,Berlin,Senior,Software Architect,12,Go,120000.0,12000.0,30.0,20.0,English,,100-1000,Product,unlimited,Transport,
151,02.12.2019 15:44:50,36.0,Male,Berlin,Senior,Fullstack Developer,15,Javascript / Typescript,70000.0,,25.0,,English,,100-1000,Product,unlimited,Finance / Insurance,
152,02.12.2019 15:43:54,31.0,Female,Munich,Junior,Fullstack Developer,4,Java,57000.0,3060.0,28.0,1.0,Deutsch,,100-1000,Product,unlimited,Finance / Insurance,
153,02.12.2019 15:44:10,38.0,Male,Berlin,Senior,Manager,9,Not Relevant,120000.0,,25.0,7.0,English,,1000+,Product,unlimited,Сommerce,
154,02.12.2019 15:44:44,24.0,Female,Munich,Junior,Backend Developer,1,C/C++,72000.0,11000.0,30.0,20.0,English,Google,1000+,Product,unlimited,Software Development,
155,02.12.2019 15:45:22,40.0,Male,Frankfurt,Senior,SAP Consultant,14,Not Relevant,175000.0,,15.0,4.0,English,,1000+,Product,6 months,Health,
156,02.12.2019 15:49:42,37.0,Male,Munich,Senior,Fullstack Developer,11,PHP,67000.0,1500.0,5.0,8.0,Deutsch,,100-1000,Product,more than 1 year,Telecom,
157,02.12.2019 15:49:47,25.0,Male,Frankfurt,Senior,Backend Developer,6,Java,65000.0,0.0,30.0,,English,,100-1000,Product,unlimited,Finance / Insurance,
158,02.12.2019 15:50:29,33.0,Male,Berlin,Senior,Mobile Developer,10,Kotlin,80000.0,0.0,28.0,5.0,English,,1000+,Product,unlimited,Media,
159,02.12.2019 15:50:47,32.0,Female,Nuremberg,Senior,QA,8,Java,50000.0,,26.0,8.0,English,,100-1000,Product,unlimited,Сommerce,
160,02.12.2019 15:54:07,43.0,Male,Frankfurt,Senior,Backend Developer,10,SAP / ABAP,85000.0,,30.0,1.0,Deutsch,,1000+,Product,unlimited,Manufacture,
161,02.12.2019 15:56:45,34.0,Male,Cologne,Middle,QA,10,Java,61800.0,,25.0,5.0,Deutsch,,up to 10,Consulting / Agency,unlimited,IT,
162,02.12.2019 15:57:09,28.0,Male,Berlin,Senior,Backend Developer,7,Java,70000.0,5000.0,25.0,,English,,50-100,Startup,unlimited,Catering,
163,02.12.2019 15:58:52,32.0,Male,Munich,Senior,DevOps,9,AWS,90000.0,9000.0,30.0,20.0,English,,1000+,Product,unlimited,Software Development,
164,02.12.2019 15:59:24,29.0,Male,Krakow,Senior,QA,7,Java,45000.0,,26.0,4.0,English,Grand Parade,100-1000,Product,unlimited,Gambling,
165,02.12.2019 16:03:59,25.0,Female,Munich,Junior,Frontend Developer,2,Javascript / Typescript,42000.0,,30.0,,Deutsch,,50-100,Consulting / Agency,unlimited,Media,
